基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
070039,嘉实中证500ETF联接C,联接基金,何如,1.1411,1.139,1.139,0.18%,2.10%,-6.29%,8.48%,7.75%,--,13.90%
070099,嘉实优质企业混合,混合型,胡涛,1.909,1.912,3.265,-0.16%,6.34%,4.48%,20.41%,47.80%,56.57%,157.09%
080001,长盛成长价值混合,混合型,冯雨生,1.2366,1.239,3.889,-0.19%,1.72%,-10.80%,8.78%,20.70%,22.55%,810.52%
080002,长盛创新先锋混合,混合型,朱律,1.204,1.2035,2.4498,0.04%,3.23%,-11.60%,5.64%,16.88%,36.82%,239.55%
080003,长盛积极配置债券,债券型,冯雨生,1.1737,1.1725,1.7505,0.10%,-0.60%,-2.87%,2.07%,4.78%,11.43%,88.81%
080005,长盛量化红利混合,混合型,冯雨生,1.3822,1.375,2.281,0.52%,0.15%,-5.89%,1.33%,9.65%,24.89%,159.14%
080006,长盛环球行业混合(QDII),QDII,吴达,1.3649,1.366,1.416,-0.08%,2.86%,0.00%,6.55%,18.99%,14.02%,43.11%
080007,长盛同鑫行业配置混合,混合型,陈亘斯,1.1643,1.164,1.195,0.03%,2.28%,-3.24%,20.37%,29.33%,24.63%,20.00%
080008,长盛战略新兴产业混合A,混合型,杨衡,2.0464,2.044,2.094,0.12%,1.34%,-1.59%,10.91%,18.77%,7.02%,114.55%
080012,长盛电子信息产业混合,混合型,钱文礼,1.8141,1.817,2.845,-0.16%,2.77%,-9.38%,23.61%,56.37%,21.21%,250.98%
080015,长盛中小盘精选混合,混合型,陈亘斯,0.777,0.776,0.776,0.13%,4.16%,-3.00%,11.33%,12.14%,6.59%,-22.40%
090001,大成价值增长混合,混合型,杨挺,1.1282,1.1328,4.1219,-0.41%,6.45%,4.75%,20.52%,31.57%,22.46%,827.86%
090002,大成债券A/B,债券型,王立,1.0503,1.0496,2.2228,0.07%,-1.09%,-1.08%,3.01%,5.24%,20.84%,209.98%
090003,大成蓝筹稳健混合,混合型,侯春燕,0.9024,0.8979,3.4679,0.50%,2.77%,-5.21%,2.10%,10.55%,12.65%,292.58%
090004,大成精选增值混合,混合型,李博,1.3193,1.3182,3.7392,0.09%,5.22%,3.33%,16.94%,33.56%,47.27%,898.27%
